team_name,season_year,sos_adj_factor,sos_z
Fordham,2020,0.0,-0.06629850709794652
American,2020,0.0,-0.9818918572287428
UCLA,2020,0.11850933814568408,1.1850933814568407
McNeese State,2020,0.0,-1.1337058925622856
East Tennessee State,2020,0.0,-0.43516823528908827
Eastern Michigan,2020,0.0,-0.09501886156037523
Drake,2020,0.01140707656447719,0.11407076564477188
Seattle,2020,0.0,-0.78892478979542
Florida A&M,2020,0.0,-0.8342017837709527
South Carolina,2020,0.11725306021213325,1.1725306021213324
LSU,2020,0.14272744367448173,1.4272744367448174
William & Mary,2020,0.0,-0.39215170712948183
Portland State,2020,0.0,-0.5326557203672859
Indiana,2020,0.17771265284072896,1.7771265284072895
Santa Clara,2020,0.0,-0.05402705964075931
Fairfield,2020,0.0,-0.8181443223044934
Clemson,2020,0.1485093228124129,1.4850932281241287
East Carolina,2020,0.048775865664955745,0.4877586566495574
Florida International,2021,0.0,-0.6885387287857718
Mississippi State,2021,0.1316832382425686,1.316832382425686
Middle Tennessee,2021,0.00012414023111357445,0.0012414023111357445
Winthrop,2021,0.0,-0.9439594171576285
Southeastern Louisiana,2021,0.0,-0.8758164810227372
Coppin State,2021,0.0,-0.48803735952572513
East Tennessee State,2021,0.00018897306695948556,0.0018897306695948555
North Carolina State,2021,0.11283163337751152,1.1283163337751152
UC San Diego,2021,0.0,-0.20838428307783555
Niagara,2021,0.0,-0.8810775054398364
Saint John`s,2021,0.12544564575128536,1.2544564575128536
Texas,2021,0.15110224321975846,1.5110224321975845
California,2021,0.1471416497196465,1.471416497196465
NJIT,2021,0.0,-0.7708217552792122
Illinois,2021,0.18647665100728975,1.8647665100728974
Denver,2021,0.0,-0.7633595674851106
South Carolina State,2021,0.0,-1.0142408580048672
Saint Francis (PA),2021,0.0,-0.7945599619740958
Seton Hall,2021,0.17089773527357868,1.7089773527357868
Arkansas-Pine Bluff,2021,0.0,-0.5807708790062827
Saint Louis,2021,0.05194131186818072,0.5194131186818072
Army,2021,0.0,-0.25186700306463217
Loyola Marymount,2021,0.08639449595678401,0.8639449595678401
Canisius,2021,0.0,-0.984755266259671
Kansas State,2021,0.11948632888110662,1.1948632888110662
Dayton,2021,0.08793562825720386,0.8793562825720386
Longwood,2021,0.0,-0.8102463612987868
Mississippi Valley State,2021,0.0,-0.61922192767493
Central Michigan,2021,0.0,-0.5204831108514627
Indiana,2021,0.18868847185263274,1.8868847185263273
Cal Poly,2021,0.0,-0.08166887745342975
